timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1571947225839,4,Pessoa,200,OK,Scenario 1 1-62,text,true,,321,389,100,100,http://localhost:3333/pessoa,4,0,0
1571947225838,10,Page Returning 404,404,Not Found,Scenario 1 1-88,text,true,,424,387,100,100,http://localhost:3333/test,10,0,1
1571947225841,7,Pessoa,200,OK,Scenario 1 1-93,text,true,,321,389,100,100,http://localhost:3333/pessoa,7,0,0
1571947225841,8,Pessoa,200,OK,Scenario 1 1-99,text,true,,321,389,100,100,http://localhost:3333/pessoa,8,0,0
1571947225841,8,Pessoa,200,OK,Scenario 1 1-43,text,true,,321,389,100,100,http://localhost:3333/pessoa,8,0,0
1571947225843,11,Pessoa,200,OK,Scenario 1 1-55,text,true,,321,389,100,100,http://localhost:3333/pessoa,11,0,1
1571947225843,11,Pessoa,200,OK,Scenario 1 1-66,text,true,,321,389,100,100,http://localhost:3333/pessoa,11,0,1
1571947225842,13,Page Returning 404,404,Not Found,Scenario 1 1-75,text,true,,424,387,100,100,http://localhost:3333/test,13,0,0
1571947225842,13,Page Returning 404,404,Not Found,Scenario 1 1-39,text,true,,424,387,100,100,http://localhost:3333/test,13,0,0
1571947225848,8,Pessoa,200,OK,Scenario 1 1-88,text,true,,321,389,100,100,http://localhost:3333/pessoa,8,0,0
1571947225844,14,Page Returning 404,404,Not Found,Scenario 1 1-47,text,true,,424,387,100,100,http://localhost:3333/test,14,0,1
1571947225846,12,Page Returning 404,404,Not Found,Scenario 1 1-17,text,true,,424,387,100,100,http://localhost:3333/test,12,0,1
1571947225848,10,Page Returning 404,404,Not Found,Scenario 1 1-41,text,true,,424,387,100,100,http://localhost:3333/test,10,0,0
1571947225849,9,Page Returning 404,404,Not Found,Scenario 1 1-77,text,true,,424,387,100,100,http://localhost:3333/test,9,0,0
